fen,moves,rating,themes
8/pp1P2kp/6p1/P1p2p2/1p3P2/2b1r3/Q3B1PP/3q3K w - - 0 29,e2d1 e3e1,399,backRankMate endgame mate mateIn1 oneMove
6k1/pp4pp/2b2p2/8/1P2qP2/2P1pQ2/P5rP/4R1K1 w - - 0 33,f3g2 e4g2,399,endgame master mate mateIn1 oneMove
k6Q/pp3n2/8/4p1r1/2p1P3/8/P1P1K1P1/7R b - - 0 36,f7h8 h1h8 g5g8 h8g8,399,backRankMate endgame mate mateIn2 short
r3k1nr/1b1p1p1p/p1q1p1p1/1pp1P3/8/P1PP4/BP3PPP/R1BQR1K1 w kq - 1 15,e1f1 c6g2,399,kingsideAttack mate mateIn1 middlegame oneMove
3r4/p4ppk/2p4p/1p6/8/1N6/PP3PPP/4R1K1 w - - 1 29,e1e7 d8d1 e7e1 d1e1,399,backRankMate endgame mate mateIn2 short
6k1/1b2nppp/4p3/2p5/2PP4/5NP1/1R3P1P/r4BK1 b - - 2 25,b7f3 b2b8 e7c8 b8c8,399,backRankMate endgame mate mateIn2 short
5Qk1/p5rq/1p6/n3R1N1/5p2/2P4b/PP3P2/4R1K1 b - - 0 27,g8f8 e5e8,399,master masterVsMaster mate mateIn1 middlegame oneMove
6k1/5ppp/p7/3p4/1PpPq1P1/2P3QP/5P2/6K1 b - - 1 30,e4e6 g3b8 e6c8 b8c8,399,backRankMate endgame mate mateIn2 queenEndgame short
6k1/4qp1p/6p1/1Rpb4/3b4/6Q1/2B2PPP/3Rr2K w - - 1 25,d1e1 e7e1,399,mate mateIn1 middlegame oneMove
5rk1/R6p/2p3p1/2Pb4/3b1Q2/8/P5PP/4qRK1 w - - 3 32,f4d4 f8f1,399,endgame master mate mateIn1 oneMove
6k1/2R3p1/p6p/1p6/8/8/PP1r1PPP/6K1 w - - 4 32,c7a7 d2d1,399,backRankMate endgame mate mateIn1 oneMove rookEndgame
r3kr2/2p1n2Q/p1p1b1p1/8/4P3/2N5/PP4PP/R1Bq3K w q - 0 18,c3d1 f8f1,399,backRankMate mate mateIn1 middlegame oneMove
r2qk2r/ppp2ppp/2n1pn2/8/3P4/2PBBQ1P/P1P3P1/R4RK1 b kq - 0 11,f6d5 f3f7,399,attackingF2F7 mate mateIn1 middlegame oneMove
1k5Q/ppp2p2/6n1/4p3/4P2P/6PB/PPq2P1K/3R4 b - - 0 26,g6h8 d1d8,399,backRankMate endgame mate mateIn1 oneMove
3r3k/p5pp/2pQ4/4p3/8/6P1/PP6/K4R2 b - - 0 31,d8d6 f1f8,399,backRankMate endgame mate mateIn1 oneMove rookEndgame
r1b4r/1p1p1kpp/p4p2/q2p4/B2P1B2/5Q2/PPP2PPP/RN4K1 w - - 2 15,a4b3 a5e1,399,mate mateIn1 middlegame oneMove
3k4/3P4/1p1K3p/p4Rp1/2P2p2/7r/8/8 b - - 1 49,h3c3 f5f8,399,endgame mate mateIn1 oneMove rookEndgame
5rk1/p4qp1/1p2p2p/3pPpQ1/3P3R/2P3P1/PP3KP1/7R b - - 0 28,h6g5 h4h8,399,endgame mate mateIn1 oneMove queenRookEndgame
3r1Q1k/6pp/8/p7/5R2/2K2N2/1PP3PP/3q4 b - - 2 39,d8f8 f4f8,399,backRankMate endgame mate mateIn1 oneMove
r2Q3k/p5pp/1p4p1/2n1p3/8/2P4P/PP2NPP1/3R2K1 b - - 0 24,a8d8 d1d8,399,backRankMate endgame mate mateIn1 oneMove
3R2k1/5ppp/1b6/1p6/8/1P4P1/Pr5P/3R1K2 b - - 1 31,b6d8 d1d8,399,backRankMate endgame master masterVsMaster mate mateIn1 oneMove
r2qkb1r/pp3pp1/2n2n1p/2p1p1P1/4P1bP/2P2Q2/PP3P2/RNB1KBNR w KQkq - 1 9,f3g2 d8d1,399,mate mateIn1 middlegame oneMove
7r/p1q4p/1p1p2pk/n2rp1N1/1Q2N1b1/1P6/P4PPP/2R3K1 w - - 0 35,c1c7 d5d1 b4e1 d1e1,399,backRankMate mate mateIn2 middlegame short
2b3kr/3n1p2/2p3Rp/q3p3/8/B5Q1/P4PPP/5RK1 b - - 0 29,f7g6 g3g6,399,mate mateIn1 middlegame oneMove
r4Q1k/1p1b2pp/p1q5/8/1P6/P1N1n3/4B1PP/R4R1K b - - 2 25,a8f8 f1f8,399,backRankMate mate mateIn1 middlegame oneMove
r2Q2k1/p4p2/1p3Prp/2p3N1/6n1/2P1p1q1/PP4B1/3R1K1R b - - 5 32,a8d8 d1d8,399,master mate mateIn1 middlegame oneMove
2r1Q2k/1b4p1/p6p/1p6/5p2/5P1P/PP1q2P1/1B2R1K1 b - - 1 25,c8e8 e1e8,399,endgame master mate mateIn1 oneMove
r4r1k/p1p4p/4Q1p1/4P3/8/8/PqP3PP/1R3R1K w - - 2 23,b1b2 f8f1,399,backRankMate endgame hangingPiece mate mateIn1 oneMove queenRookEndgame
3q2k1/p5n1/1n4K1/4p3/p3P3/2P2P2/1P5Q/7R b - - 0 51,d8f8 h2h8,399,endgame master mate mateIn1 oneMove
2kr2nr/pp5p/1Np1q3/4p1pb/4P3/6PP/PPPQ2P1/2KR1B1R b - - 1 16,a7b6 d2d8,399,mate mateIn1 middlegame oneMove queensideAttack
